W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,K,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,W,W,W,W,W,W,W,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,W,W,W,W,W,W,W,W,W,W,W,x,W,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,X,X,W
W,x,x,W,W,W,W,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,W,x,x,x,x,x,x,x,x,x,x,D,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,W,x,x,x,x,T,x,x,x,x,x,D,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,D,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,D,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,X,X,W
W,x,x,x,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,X,X,X,W,W,W,W,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,W
W,x,S,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,X,W
W,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,W,X,X,X,X,X,X,O(1),W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
